GKGRECORDID,DATE,first_sentence
20150326033000-231,2015-03-26,The founder of Monitise has left the mobile-payments group after failing to sell the business in a move that wiped a quarter of the value from the company’s shares.
20150326033000-239,2015-03-26,Breakdown rescue firm AA plans to cut its crippling debt payments and pay a maiden dividend by raising £935million as part of its restructuring plan.
20150326033000-269,2015-03-26,"Infrastructure firm Balfour Beatty requires a 'culture change' to put behind it a history of blunders, its new boss has said."
20150326033000-332,2015-03-26,"The Bank of England has been heavily criticised over a systems meltdown last year which jeopardised billions of pounds of financial transactions, including thousands of mortgages."
20150326033000-715,2015-03-26,"Britain should not panic and cut interest rates despite heading for the first dose of deflation for more than half a century, Bank of England officials declared yesterday."
20150326033000-818,2015-03-26,The Bank of England is wheeling out its big guns to tell us to calm down about zero inflation after maverick chief economist Andy Haldane broke ranks and suggested a rate cut to combat falling prices could be on the cards.
20150326104500-1573,2015-03-26,The UK government has sold a further 1 per cent stake in Lloyds Banking Group as it continues to reduce its holdings in the bailed-out lender ahead of the upcoming general election in May.
20150326124500-1869,2015-03-26,The founder of Monitise has left the mobile-payments group after failing to sell the business in a move that wiped a quarter of the value from the company’s shares.
20150326124500-2500,2015-03-26, 17.40:The FTSE 100 finished down 95.64 points at 6895.33 as a deepening conflict in Yemen and concerns about US growth and Greek debt rattled investors across the world.
20150326124500-2969,2015-03-26,Low cost carrier easyJet said its seasonal losses from October to March will be less than first thought after the airline received a boost from lower oil prices and a recent tumble in the euro.
20150326163000-2415,2015-03-26,"SuperGroup has struck a deal with TV and film star Idris Elba to design and model a new fashion range, as the Superdry owner's new boss Euan Sutherland looks to stamp his authority on the retailer."
20150326163000-2609,2015-03-26,Royal Dutch Shell has today announced further jobs cuts at its North Sea operations and plans to increase its staff working hours as it struggles to tackle costs after being hit by a slump in oil prices.
20150326173000-324,2015-03-26,The London stock market fell sharply today as air strikes in the Middle East sent the world oil price soaring 6 per cent.
20150327000000-1930,2015-03-27,"Investors continued to dismount at Ladbrokes, still seemingly unimpressed with the appointment of Jim Mullen as the successor to out-going chief executive Richard Glynn."
20150327023000-174,2015-03-27,Royal Bank of Scotland and disgraced former boss Fred Goodwin have been blasted by a High Court judge for resisting demands to hand over private emails sent during the financial crisis as part of a £5billion lawsuit.
20150327023000-1805,2015-03-27,"Air strikes in the Middle East, worries over global growth and uncertainty over the General Election have sent London shares sliding again today as the index looks set to close down for its fourth straight session in a row."
20150327023000-2010,2015-03-27,It's an unlikely forum in which to hold Goliaths of the business world to account.
20150327023000-2190,2015-03-27,A series of fatal airline disasters in the past year – the worst since 9/11 in 2001 – racked up £310million of losses for Lloyd’s insurance market.
20150327023000-889,2015-03-27,"The former boss of Centrica has pledged to give part of his £600,000 bonus to charity in a bid to curb anger over the sector – days before he collects a £1.4million share windfall."
20150327023000-924,2015-03-27,SuperGroup’s new chief executive is to transform the fashion brand from its market stall roots to a professional corporate outfit through a wide-ranging shake up.
20150327093000-483,2015-03-27,"  17.35:The FTSE 100 closed down 40.31 points at 6855.02 after a dismal week on markets, which ended with Greece's finance minister Yanis Varoufakis denying claims in a German newspaper he could quit."
20150327141500-304,2015-03-27,The Co-operative Bank said it was ‘stronger’ than a year ago as it posted smaller losses but announced a further 57 branch closures after warning there was still ‘much to do’ to return it to be a sustainable business.
20150327171500-69,2015-03-27,Saudi air strikes on the Yemen meant it was another volatile week for oil prices.
20150327230000-1397,2015-03-27,Carnival was riding on the crest of a wave yesterday as holidaymakers sought the sun on its Caribbean cruises.
20150328030000-161,2015-03-28,"After guiding Barratt Developments through the financial crisis and riding the crest of the latest house price wave, chief executive Mark Clare is to hand over the shovel to finance director David Thomas."
20150328030000-39,2015-03-28,Pension scheme members at struggling BHS have been sent letters reassuring them over future payouts after the sale of the High Street chain to Retail Acquisitions earlier this month.
20150328030000-576,2015-03-28,"The Co-op Bank has come under fire over plans to pay its boss up to £4.5million, despite lurching to its third consecutive annual loss, sacking almost 1,000 staff and shutting 72 branches."
20150329123000-756,2015-03-29,"He turns 69 on Thursday but the company founded by music impresario Raymond Gubbay – whose productions include opera, ballet and the Christmas Festival concerts – is still going strong."
20150329214500-1143,2015-03-29, Britain could miss out on billions of pounds from tourists as rival nations outspend on marketing to lure visitors.
20150329221500-1192,2015-03-29," The boss of Alliance Trust has come under mounting pressure to bow to investors’ wishes or quit, after a broadside from a former board director."
20150330131500-1413,2015-03-30, 17.35:The FTSE 100 closed up 36.41 points at 6891.43 as commodity stocks rose on hopes that China has a fresh round of stimulus measures in the works.
20150330230000-2478,2015-03-30,Alliance Trust chief executive Katherine Garrett-Cox has been shortlisted for the Veuve Clicquot Businesswoman of the Year award as pressure mounts from investors.
20150331104500-1652,2015-03-31, 17.50:The FTSE 100 closed down 118.39 points at 6773.04 as the oil price fell back to $55 a barrel and commodity stocks took a hammering.
20150331123000-107,2015-03-31,Private equity boss Jon Moulton has hit back at an ‘unfounded and unfair’ report published by MPs into collapsed City Link.
20150331123000-2439,2015-03-31,The pound is set for its worst month for two years against the US dollar amid worries about the outcome of the General Election.
20150401031500-858,2015-04-01,"Books closed yesterday on Shawbrook, the latest of the challenger banks wanting to become a public company, and by all accounts its IPO will be a resounding success."
